column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,model,contrast,n,beta,se,stat,p,vcov_type,status,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
dMRI_TBSS_L1_posterior_thalamic_radiation_left,25229.0,25085.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior thalamic radiation (left),basket,A,G,additive_dosage,per_A_allele,32563,-0.00038854718070659454,0.006317581002427464,-0.06150252455129573,0.9509590039132599,HC3,ok,0.9509590039132599,0.0218382052056154,170,154.0,False,False,False
dMRI_TBSS_L1_body_of_corpus_callosum,25203.0,25059.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,body of corpus callosum,basket,A,G,additive_dosage,per_A_allele,32563,-0.001233515263778845,inf,-0.0,1.0,HC3,ok,1.0,-0.0,170,163.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_left,25225.0,25081.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (left),basket,A,G,additive_dosage,per_A_allele,32548,0.0034931986152497325,inf,0.0,1.0,HC3,ok,1.0,-0.0,170,163.0,False,False,False
dMRI_TBSS_L1_posterior_corona_radiata_right,25226.0,25082.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior corona radiata (right),basket,A,G,additive_dosage,per_A_allele,32540,-0.003343802530425919,inf,-0.0,1.0,HC3,ok,1.0,-0.0,170,163.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,25219.0,25075.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),basket,A,G,dominant_A,AA/AG_vs_GG,32565,0.011914835969064596,0.011353410503261373,1.0494499397905104,0.2939790079275174,nonrobust,ok,0.2939790079275174,0.5316836800189086,170,21.0,False,False,False
dMRI_TBSS_L1_posterior_limb_of_internal_capsule_left,25219.0,25075.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,posterior limb of internal capsule (left),basket,A,G,dominant_A,AA/AG_vs_GG,32565,0.011914835969064596,0.011398253195985666,1.04532122283973,0.29587453211346615,HC3,ok,0.29587453211346615,0.5288924158417386,170,22.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_right,25224.0,25080.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (right),basket,A,G,dominant_A,AA/AG_vs_GG,32546,0.010151691808925362,0.00980381254835904,1.035484079163116,0.30045072588281563,nonrobust,ok,0.30045072588281563,0.5222267424028793,170,24.0,False,False,False
dMRI_TBSS_L1_superior_corona_radiata_right,25224.0,25080.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,superior corona radiata (right),basket,A,G,dominant_A,AA/AG_vs_GG,32546,0.010151691808925362,0.009847526339030884,1.0308875000099174,0.30259357905774,HC3,ok,0.30259357905774,0.5191402918097863,170,25.0,False,False,False
dMRI_TBSS_L1_genu_of_corpus_callosum,25202.0,25058.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,genu of corpus callosum,basket,A,G,dominant_A,AA/AG_vs_GG,32566,-0.010849797787937342,0.0110557369826159,-0.9813726398337462,0.3264164310843739,nonrobust,ok,0.3264164310843739,0.4862279879400246,170,29.0,False,False,False
dMRI_TBSS_L1_genu_of_corpus_callosum,25202.0,25058.0,directional_tensor_context,directional_tensor_context,directional_context,primary,dMRI_TBSS,L1,genu of corpus callosum,basket,A,G,dominant_A,AA/AG_vs_GG,32566,-0.010849797787937342,0.011102317091252261,-0.9772552611099637,0.3284427959747239,HC3,ok,0.3284427959747239,0.48354025945533863,170,30.0,False,False,False
