metric,modality,region,column_name,n,beta_per_A,se,t,p,aa_vs_gg_additive_2beta,aa_vs_gg_beta_genotypic,aa_vs_gg_p_genotypic,wald_p,field_id
RD,dMRI_weighted_mean,corticospinal tract (left),dMRI_weighted_mean_RD_corticospinal_tract_left,32556,-0.004969572767127,0.0071822036239231,-0.6919286931066604,0.4889871311785593,-0.009939145534254,-0.010333352555596,0.4727076226924809,0.7079387627678779,
RD,dMRI_weighted_mean,cingulate gyrus part of cingulum (left),dMRI_weighted_mean_RD_cingulate_gyrus_part_of_cingulum_left,32562,-0.0046467830768199,0.0070023019875087,-0.6636079228101299,0.5069460653508704,-0.0092935661536398,-0.0101255437081274,0.4704616212203266,0.4878220823118251,
RD,dMRI_weighted_mean,uncinate fasciculus (left),dMRI_weighted_mean_RD_uncinate_fasciculus_left,32557,-0.0041682282082043,0.0067226129807448,-0.6200309641716905,0.5352418166359361,-0.0083364564164087,-0.0075354507941246,0.5758491263128281,0.5003922376124729,
RD,dMRI_TBSS,superior corona radiata (left),dMRI_TBSS_RD_superior_corona_radiata_left,32514,0.0030030199074294,0.0061237313876209,0.4903905343562323,0.6238609405765343,0.0060060398148589,0.0047856359911378,0.6964890281107146,0.2174769146569722,
RD,dMRI_TBSS,corticospinal tract (right),dMRI_TBSS_RD_corticospinal_tract_right,32557,-0.0028791390633588,0.0074443774661072,-0.3867535030923684,0.6989412745420522,-0.0057582781267177,-0.0058299356529182,0.6958985398987215,0.9249217129719244,
RD,dMRI_weighted_mean,corticospinal tract (right),dMRI_weighted_mean_RD_corticospinal_tract_right,32557,-0.0024524350685321,0.0069837226890046,-0.3511644401908046,0.7254672980309317,-0.0049048701370642,-0.0056886110413559,0.684336834796446,0.6029531144457246,
RD,dMRI_weighted_mean,superior longitudinal fasciculus (left),dMRI_weighted_mean_RD_superior_longitudinal_fasciculus_left,32541,0.0020694520189992,0.0064295329893466,0.3218666149513821,0.7475558494017066,0.0041389040379985,0.0035699075604385,0.7816858276504067,0.7204483605034834,
RD,dMRI_TBSS,anterior corona radiata (right),dMRI_TBSS_RD_anterior_corona_radiata_right,32547,-0.001789683985391,0.00586205977165,-0.305299511623254,0.7601400343210403,-0.0035793679707821,-0.0049224672473563,0.6751199063115465,0.1492170656302698,
RD,dMRI_TBSS,posterior corona radiata (right),dMRI_TBSS_RD_posterior_corona_radiata_right,32500,-0.0018272991071497,0.0062256274043474,-0.2935124427577713,0.7691323971014223,-0.0036545982142995,-0.0043356232830663,0.7281481318171383,0.6273941361222504,
RD,dMRI_weighted_mean,forceps major,dMRI_weighted_mean_RD_forceps_major,32553,-0.0021201621491846,0.0073577127560557,-0.288155058437107,0.7732299150932801,-0.0042403242983693,-0.0037494580452353,0.7992308966672992,0.8199789021678219,
