r2,r2_adj,cond_number,bp_p,jb_p,n_studres_gt4,diagnostic_status,column_name,family,analysis_tier
0.19792775932522644,0.18394555712282956,2.7314356808900716e+38,4.573138032906732e-71,0.0,131,ok,demyelination_like__tbss__medial_lemniscus_right,secondary_composite,secondary_composite
0.2126448182145414,0.19891917256999503,2.7314356808900716e+38,1.281122195021955e-22,0.0,58,ok,demyelination_like__tbss__middle_cerebellar_peduncle,secondary_composite,secondary_composite
0.26378379040456923,0.2509496298574029,2.7314356808900716e+38,1.1204141337387862e-35,0.0,42,ok,demyelination_like__wm__medial_lemniscus_right,secondary_composite,secondary_composite
0.17292766979933538,0.158509651109218,2.7314356808900716e+38,0.0002415444968893494,0.0,88,ok,demyelination_like__wm__middle_cerebellar_peduncle,secondary_composite,secondary_composite
0.12037546537964328,0.10504132528410282,2.7314356808900716e+38,3.433056016119213e-86,0.0,238,ok,demyelination_like__wm__parahippocampal_part_of_cingulum_left,secondary_composite,secondary_composite
0.10712197823831493,0.09155679544150719,2.7314356808900716e+38,1.4577846249416615e-75,0.0,177,ok,demyelination_like__wm__parahippocampal_part_of_cingulum_right,secondary_composite,secondary_composite
0.5209545365303849,0.5126035299817253,2.7314356808900716e+38,0.0,0.0,125,ok,demyelination_like__tbss__posterior_corona_radiata_right,secondary_composite,secondary_composite
0.16371193144030805,0.1491332584965639,2.7314356808900716e+38,1.0204053564036382e-13,1.1996754742119067e-239,27,ok,demyelination_like__tbss__pontine_crossing_tract,secondary_composite,secondary_composite
0.5107869956854154,0.50225874249389,2.7314356808900716e+38,2.248974255749457e-309,0.0,99,ok,demyelination_like__tbss__posterior_corona_radiata_left,secondary_composite,secondary_composite
0.27981302735337066,0.26725829803546575,2.7314356808900716e+38,1.093367128135935e-30,0.0,54,ok,demyelination_like__tbss__posterior_limb_of_internal_capsule_left,secondary_composite,secondary_composite
