column_name,field_id,field_id_base,family,analysis_tier,confirmatory_role,panel,modality,metric,region,source,effect_allele,other_allele,reference,n,status,beta_AA_vs_GG,se_AA_vs_GG,p_AA_vs_GG,beta_AG_vs_GG,se_AG_vs_GG,p_AG_vs_GG,wald_df,wald_chi2,wald_p,raw_p,minus_log10_raw_p,n_tests_in_family,raw_p_rank_within_family,raw_p_lt_0_05,raw_p_lt_0_01,raw_p_lt_0_001
dMRI_TBSS_FA_genu_of_corpus_callosum,25058.0,25058.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,genu of corpus callosum,basket,A,G,GG,32559,ok,0.00817399948553636,0.012913478484522765,0.5267499185367828,0.014677535584899596,0.01147122269137661,0.20072706025279602,2,1.6718561305276245,0.43347200438928823,0.43347200438928823,0.363038946012135,51,29.0,False,False,False
dMRI_TBSS_FA_body_of_corpus_callosum,25059.0,25059.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,body of corpus callosum,basket,A,G,GG,32556,ok,0.016039899742027748,0.013366767715008858,0.23015466162255663,0.02305900168019416,0.011873864246002357,0.05214630026492097,2,3.771710177955333,0.15169928756537548,0.15169928756537548,0.8190164588121666,51,8.0,False,False,False
dMRI_TBSS_FA_splenium_of_corpus_callosum,25060.0,25060.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,splenium of corpus callosum,basket,A,G,GG,32542,ok,0.02113747211870046,0.014910742016543023,0.15631723933046918,0.00963899844243811,0.013245764929798847,0.4668000212073542,2,2.039544465667611,0.3606770812149067,0.3606770812149067,0.4428814535178798,51,24.0,False,False,False
dMRI_TBSS_FA_cerebral_peduncle_left,25071.0,25071.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,cerebral peduncle (left),basket,A,G,GG,32560,ok,0.0549145211921136,0.0139108916421943,7.910998152058225e-05,0.03427121092834774,0.012356490562603096,0.005548226374332955,2,15.795966101788515,0.0003714920659266079,0.0003714920659266079,3.430050457168786,51,1.0,True,True,True
dMRI_TBSS_FA_corticospinal_tract_left,25063.0,25063.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,corticospinal tract (left),basket,A,G,GG,32565,ok,0.0374615907062571,0.014639147453525797,0.010501905260841425,0.022198390862670628,0.013003920054094373,0.08782175686249537,2,6.582406441760705,0.03720905174288932,0.03720905174288932,1.4293513976505465,51,3.0,True,False,False
dMRI_TBSS_FA_posterior_limb_of_internal_capsule_right,25074.0,25074.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,posterior limb of internal capsule (right),basket,A,G,GG,32563,ok,0.01969014772075206,0.014439976536333981,0.1727075385176249,0.0039885035573250845,0.012827096253155871,0.7558455191735372,2,2.2917615857381244,0.31794375183506474,0.31794375183506474,0.49764970526195673,51,21.0,False,False,False
dMRI_TBSS_FA_cerebral_peduncle_right,25070.0,25070.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,cerebral peduncle (right),basket,A,G,GG,32560,ok,0.02076505941807464,0.01399116073326548,0.1377774977105912,0.021573579207605175,0.01242786126729245,0.08259036297603045,2,3.301304377089567,0.1919246967056515,0.1919246967056515,0.7168691370265255,51,11.0,False,False,False
dMRI_TBSS_FA_posterior_limb_of_internal_capsule_left,25075.0,25075.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,posterior limb of internal capsule (left),basket,A,G,GG,32564,ok,0.0249984309507654,0.014397760934240235,0.08252535303593608,0.009888792898851546,0.012789485871970468,0.43941147527390545,2,3.1449974540183945,0.2075259831793767,0.2075259831793767,0.6829275199399822,51,12.0,False,False,False
dMRI_TBSS_FA_anterior_corona_radiata_left,25079.0,25079.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,anterior corona radiata (left),basket,A,G,GG,32568,ok,0.0030128977237337956,0.012234036817631267,0.8054734517902598,0.01376395381777747,0.010867509386882444,0.20533501055266068,2,2.045485160858932,0.3596073344602884,0.3596073344602884,0.4441714590880098,51,23.0,False,False,False
dMRI_TBSS_FA_anterior_corona_radiata_right,25078.0,25078.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,anterior corona radiata (right),basket,A,G,GG,32566,ok,0.0050849441998458466,0.012730030462670352,0.6895681704038789,0.020783898402744215,0.011308046239281125,0.06607545442801041,2,4.20805668237093,0.12196412422965182,0.12196412422965182,0.9137678983448997,51,6.0,False,False,False
dMRI_TBSS_FA_superior_corona_radiata_right,25080.0,25080.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,superior corona radiata (right),basket,A,G,GG,32567,ok,0.008939606118004777,0.014045237156005436,0.5244638231991952,0.011350709373446191,0.012476537780166514,0.3629536461533598,2,0.8382411303238602,0.6576249038350007,0.6576249038350007,0.18202174870199847,51,41.0,False,False,False
dMRI_TBSS_FA_corticospinal_tract_right,25062.0,25062.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,corticospinal tract (right),basket,A,G,GG,32564,ok,0.024981932037048574,0.014321901475211255,0.08111347963480316,0.01953485709107245,0.012721770192383566,0.12465977264185375,2,3.396645063944542,0.18299022699379555,0.18299022699379555,0.7375721041275163,51,10.0,False,False,False
dMRI_TBSS_FA_superior_corona_radiata_left,25081.0,25081.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,superior corona radiata (left),basket,A,G,GG,32568,ok,0.0038860034420226197,0.01390187721117737,0.7798392786109132,0.01836174579499926,0.01234905398274,0.13705241277813932,2,2.8382606708650524,0.24192431844564166,0.24192431844564166,0.616320473779857,51,15.0,False,False,False
dMRI_TBSS_FA_posterior_corona_radiata_right,25082.0,25082.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,posterior corona radiata (right),basket,A,G,GG,32564,ok,0.005761407830577494,0.01378933343690803,0.6760842590645393,0.011512635760232997,0.01224963099141228,0.34730913601580826,2,0.9218463664310619,0.6307011239695799,0.6307011239695799,0.20017639505178655,51,38.0,False,False,False
dMRI_TBSS_FA_posterior_corona_radiata_left,25083.0,25083.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,posterior corona radiata (left),basket,A,G,GG,32561,ok,0.01132318178542447,0.013800745111456653,0.4119508492615166,0.0014401879931031573,0.012259482026543924,0.9064840459338135,2,0.9069731226604684,0.6354088930040284,0.6354088930040284,0.19694671120300117,51,40.0,False,False,False
dMRI_TBSS_FA_posterior_thalamic_radiation_right,25084.0,25084.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,posterior thalamic radiation (right),basket,A,G,GG,32561,ok,-0.010868541368524772,0.012725497114542421,0.39306928730935353,0.0016359121007011256,0.011304047946850202,0.884933537851469,2,1.4354115881973017,0.48787024781948296,0.48787024781948296,0.3116956660070354,51,32.0,False,False,False
dMRI_TBSS_FA_posterior_thalamic_radiation_left,25085.0,25085.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,FA,posterior thalamic radiation (left),basket,A,G,GG,32561,ok,0.01064333838718793,0.012630174216889452,0.3994073919621176,0.00010532205740380074,0.011219804987607971,0.9925103018348259,2,1.1158833484843753,0.572386009030792,0.572386009030792,0.24231099034724368,51,35.0,False,False,False
dMRI_TBSS_MD_body_of_corpus_callosum,25107.0,25059.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,body of corpus callosum,basket,A,G,GG,32561,ok,-0.015501527024216937,0.012700257936372734,0.22225866397242952,-0.018332938865144706,0.011281680139288834,0.10416846613262407,2,2.7243282571553333,0.25610593062732967,0.25610593062732967,0.5915803644878322,51,17.0,False,False,False
dMRI_TBSS_MD_genu_of_corpus_callosum,25106.0,25058.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,genu of corpus callosum,basket,A,G,GG,32564,ok,-0.013228637754788884,0.012264650551987399,0.28077473148526133,-0.014875287783350705,0.010894658064930498,0.17214498609744294,2,1.9603328140107936,0.3752486496514838,0.3752486496514838,0.42568086190938065,51,25.0,False,False,False
dMRI_TBSS_MD_corticospinal_tract_right,25110.0,25062.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,corticospinal tract (right),basket,A,G,GG,32554,ok,0.0017095269427720692,0.01503266222896589,0.9094598070657869,0.0019962631589669805,0.013352496862632734,0.8811562179857689,2,0.023158347577000554,0.9884876068409504,0.9884876068409504,0.005028771281344421,51,51.0,False,False,False
dMRI_TBSS_MD_splenium_of_corpus_callosum,25108.0,25060.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,splenium of corpus callosum,basket,A,G,GG,32543,ok,-0.022252984707421177,0.013082989719194983,0.08896965739762415,-0.0077641402467012,0.011622457629872499,0.5041198194022947,2,3.110843548464765,0.21110032718318925,0.21110032718318925,0.6755110935812894,51,13.0,False,False,False
dMRI_TBSS_MD_cerebral_peduncle_right,25118.0,25070.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,cerebral peduncle (right),basket,A,G,GG,32559,ok,-0.012088469361018263,0.013727172451815964,0.37852829951471156,-0.0198656320592373,0.012193889333261586,0.10329185415640207,2,2.6745398322424716,0.2625615059222189,0.2625615059222189,0.5807689453866771,51,18.0,False,False,False
dMRI_TBSS_MD_posterior_limb_of_internal_capsule_right,25122.0,25074.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,posterior limb of internal capsule (right),basket,A,G,GG,32557,ok,-0.007981871708227326,0.012779536873930785,0.53224973538933,-0.002840555940471159,0.011351934539831554,0.8024137250304797,2,0.41735626929680764,0.8116564376899046,0.8116564376899046,0.09062776237166553,51,45.0,False,False,False
dMRI_TBSS_MD_corticospinal_tract_left,25111.0,25063.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,corticospinal tract (left),basket,A,G,GG,32559,ok,-0.012529605828828439,0.0151727211627521,0.40892473186157685,-0.012782789767975151,0.013477811739143562,0.3429166687607106,2,0.9968469155777723,0.6074876350578061,0.6074876350578061,0.21646255736885162,51,36.0,False,False,False
dMRI_TBSS_MD_cerebral_peduncle_left,25119.0,25071.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,cerebral peduncle (left),basket,A,G,GG,32555,ok,-0.0327963880461142,0.014275803011478481,0.021605746553899113,-0.018386542479755772,0.012680651247884346,0.14707715821359313,2,5.281514078635306,0.07130726671329111,0.07130726671329111,1.1468662102228253,51,4.0,False,False,False
dMRI_TBSS_MD_anterior_corona_radiata_right,25126.0,25078.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,anterior corona radiata (right),basket,A,G,GG,32546,ok,-0.007084446932996223,0.011641609897600949,0.5428301953535496,-0.013983988390609508,0.010340231460573546,0.17626129880998326,2,1.9035869706810913,0.3860480307202589,0.3860480307202589,0.4133586585948627,51,26.0,False,False,False
dMRI_TBSS_MD_posterior_limb_of_internal_capsule_left,25123.0,25075.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,posterior limb of internal capsule (left),basket,A,G,GG,32554,ok,0.0017413813829748887,0.012905215679036025,0.8926631287213225,-0.0024831546644153283,0.011463900346992831,0.8285164460572936,2,0.1605617807652266,0.9228570882961593,0.9228570882961593,0.03486554769544883,51,47.0,False,False,False
dMRI_TBSS_MD_anterior_corona_radiata_left,25127.0,25079.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,anterior corona radiata (left),basket,A,G,GG,32552,ok,-0.0008685314501939339,0.011639893464440521,0.9405200838677011,-0.007662197235684967,0.01033951948473975,0.4586629153829078,2,0.7762791375081356,0.6783176647058484,0.6783176647058484,0.16856687291819944,51,42.0,False,False,False
dMRI_TBSS_MD_superior_corona_radiata_right,25128.0,25080.0,primary_skeleton_tensor,primary_skeleton_tensor,primary,primary,dMRI_TBSS,MD,superior corona radiata (right),basket,A,G,GG,32524,ok,0.0027971603792069544,0.011096600306513039,0.8009857687243676,-9.638462159917418e-05,0.009855011469833584,0.9921966631707008,2,0.10613817422065364,0.9483144939110145,0.9483144939110145,0.02304761169165792,51,49.0,False,False,False
